id v_1_x v_1_y v_2_x v_2_y v_3_x v_3_y v_4_x v_4_y face fix_aix fix_v floor dir
12 -24.32 1.1 -24.32 2.9 -20.87 2.9 -20.87 1.1 4 y 3.53 1 -1
13 -19.46 1.1 -19.46 2.9 -17.77 2.9 -17.77 1.1 4 y 3.53 1 -1
14 -15.17 1.1 -15.17 2.9 -11.92 2.9 -11.92 1.1 4 y 3.53 1 -1
15 -8.11 1.1 -8.11 2.9 -5.34 2.9 -5.34 1.1 4 y 3.53 1 -1
44 -24.32 4.1 -24.32 5.9 -20.87 5.9 -20.87 4.1 4 y 3.53 2 -1
45 -19.46 4.1 -19.46 5.9 -17.77 5.9 -17.77 4.1 4 y 3.53 2 -1
46 -15.17 4.1 -15.17 5.9 -11.92 5.9 -11.92 4.1 4 y 3.53 2 -1
47 -8.11 4.1 -8.11 5.9 -5.34 5.9 -5.34 4.1 4 y 3.53 2 -1
76 -24.32 7.1 -24.32 8.9 -20.87 8.9 -20.87 7.1 4 y 3.53 3 -1
77 -19.46 7.1 -19.46 8.9 -17.77 8.9 -17.77 7.1 4 y 3.53 3 -1
78 -15.17 7.1 -15.17 8.9 -11.92 8.9 -11.92 7.1 4 y 3.53 3 -1
79 -8.11 7.1 -8.11 8.9 -5.34 8.9 -5.34 7.1 4 y 3.53 3 -1
108 -24.32 10.1 -24.32 11.9 -20.87 11.9 -20.87 10.1 4 y 3.53 4 -1
109 -19.46 10.1 -19.46 11.9 -17.77 11.9 -17.77 10.1 4 y 3.53 4 -1
110 -15.17 10.1 -15.17 11.9 -11.92 11.9 -11.92 10.1 4 y 3.53 4 -1
111 -8.11 10.1 -8.11 11.9 -5.34 11.9 -5.34 10.1 4 y 3.53 4 -1
140 -24.32 13.1 -24.32 14.9 -20.87 14.9 -20.87 13.1 4 y 3.53 5 -1
141 -19.46 13.1 -19.46 14.9 -17.77 14.9 -17.77 13.1 4 y 3.53 5 -1
142 -15.17 13.1 -15.17 14.9 -11.92 14.9 -11.92 13.1 4 y 3.53 5 -1
143 -8.11 13.1 -8.11 14.9 -5.34 14.9 -5.34 13.1 4 y 3.53 5 -1
172 -24.32 16.1 -24.32 17.9 -20.87 17.9 -20.87 16.1 4 y 3.53 6 -1
173 -19.46 16.1 -19.46 17.9 -17.77 17.9 -17.77 16.1 4 y 3.53 6 -1
174 -15.17 16.1 -15.17 17.9 -11.92 17.9 -11.92 16.1 4 y 3.53 6 -1
175 -8.11 16.1 -8.11 17.9 -5.34 17.9 -5.34 16.1 4 y 3.53 6 -1
204 -24.32 19.1 -24.32 20.9 -20.87 20.9 -20.87 19.1 4 y 3.53 7 -1
205 -19.46 19.1 -19.46 20.9 -17.77 20.9 -17.77 19.1 4 y 3.53 7 -1
206 -15.17 19.1 -15.17 20.9 -11.92 20.9 -11.92 19.1 4 y 3.53 7 -1
207 -8.11 19.1 -8.11 20.9 -5.34 20.9 -5.34 19.1 4 y 3.53 7 -1
236 -24.32 22.1 -24.32 23.9 -20.87 23.9 -20.87 22.1 4 y 3.53 8 -1
237 -19.46 22.1 -19.46 23.9 -17.77 23.9 -17.77 22.1 4 y 3.53 8 -1
238 -15.17 22.1 -15.17 23.9 -11.92 23.9 -11.92 22.1 4 y 3.53 8 -1
